repo_owner,repo_name,language,generated_behavioral_tests,best_score,Claude Opus 4.6 score,Claude Opus 4.6 cost,Claude Opus 4.6 calls,Claude Sonnet 4.6 score,Claude Sonnet 4.6 cost,Claude Sonnet 4.6 calls,Claude Opus 4.7 score,Claude Opus 4.7 cost,Claude Opus 4.7 calls,Gemini 3.1 Pro score,Gemini 3.1 Pro cost,Gemini 3.1 Pro calls,GPT 5.4 score,GPT 5.4 cost,GPT 5.4 calls,Claude Haiku 4.5 score,Claude Haiku 4.5 cost,Claude Haiku 4.5 calls,GPT 5.4 mini score,GPT 5.4 mini cost,GPT 5.4 mini calls,GPT 5 mini score,GPT 5 mini cost,GPT 5 mini calls,Gemini 3 Flash score,Gemini 3 Flash cost,Gemini 3 Flash calls
direnv,direnv,go,849,0.62,0.62,14.725,312,0.5765,20.85,417,0.3224,2.28,84,0.2706,3.3196,161,0.3286,0.2176,8,0.1929,1.0378,133,0.1201,0.0537,31,0.1013,0.0322,19,0.0683,0.7269,127
doxygen,doxygen,c,229,0.345,0.013,15.1283,328,0.013,28.023,525,0.345,1.1674,50,0.1572,1.5922,87,0.2969,0.2352,7,0.1783,0.7295,130,0.1485,0.0201,6,0.1659,0.0196,11,0.013,0.209,76
Drew-Alleman,DataSurgeon,rs,502,0.743,0.743,13.4464,345,0.6912,13.7609,462,0.7211,8.6444,213,0.4482,1.083,71,0.3984,0.1978,9,0.3566,0.6704,88,0.0299,0.0511,12,0.2749,0.0283,21,0.7331,0.2982,112
ducaale,xh,rs,1171,0.5,0.4996,13.6651,284,0.3356,45.7919,702,0.1554,1.2401,43,0.2468,0.8359,54,0.3664,0.2465,7,0.1981,1.4153,156,0.0128,0.0723,14,0.0939,0.0207,13,0.1665,0.2335,73
duckdb,duckdb,cpp,5650,0.124,0.1239,17.5647,441,0.0,8.2384,288,0.0404,1.4052,62,0.0625,1.0114,88,0.1088,0.4309,13,0.0375,0.8612,121,0.0432,0.0339,57,0.0398,0.0286,14,0.0469,0.4934,118
dundee,gdu,go,1161,0.701,0.6649,10.2436,245,0.7011,21.1348,532,0.596,2.3514,69,0.3635,1.1672,105,0.2791,0.3088,8,0.4212,0.7239,125,0.3239,0.0285,7,0.0448,0.0105,6,0.0947,0.2829,73
ecumene,rust-sloth,rs,380,0.526,0.5263,16.8313,237,0.4553,83.6998,578,0.4737,2.4631,58,0.0,4.9416,151,0.3658,0.4058,10,0.2421,0.9507,126,0.2526,0.0497,10,0.2316,0.0265,20,0.2895,0.461,95
ekzhang,bore,rs,406,0.687,0.6281,8.199,193,0.4557,8.2483,225,0.6872,5.5897,112,0.4236,1.2808,70,0.3966,0.5609,14,0.3153,0.5431,117,0.1108,0.0369,11,0.1158,0.0238,16,0.2783,0.2827,81
eliukblau,pixterm,go,430,0.749,0.1953,15.0097,227,0.7488,24.6076,335,0.193,5.7972,92,0.2163,2.3231,78,0.1953,0.1963,7,0.0977,0.9771,136,0.1442,0.0341,6,0.1791,0.0203,14,0.0837,0.3955,83
elkowar,pipr,rs,525,0.571,0.5352,10.1026,210,0.0267,22.6534,354,0.5714,3.0844,108,0.461,2.8113,138,0.3333,0.1106,11,0.2476,0.5767,119,0.3181,0.0171,7,0.0267,0.0149,10,0.0571,0.2977,87
Epistates,treemd,rs,1569,0.551,0.5507,20.2798,431,0.5328,29.3405,585,0.4544,2.5432,66,0.3556,2.298,130,0.3193,0.2083,7,0.3244,0.8609,144,0.146,0.0425,14,0.2173,0.068,34,0.2753,0.3101,117
eradman,entr,c,586,0.886,0.8089,7.8814,202,0.8857,12.1445,383,0.785,1.8927,77,0.7082,1.9838,152,0.5922,0.2391,13,0.3549,0.5335,109,0.1331,0.0218,7,0.0119,0.0143,12,0.657,0.25,77
Esubaalew,run,rs,1212,0.852,0.8507,14.7184,342,0.8523,32.2858,669,0.7318,1.9068,73,0.585,3.4226,156,0.698,0.2105,11,0.4233,0.32,104,0.3762,0.0318,18,0.0173,0.0268,16,0.5446,0.2554,85
eudoxia0,hashcards,rs,1151,0.563,0.0,6.9059,254,0.0565,51.1905,537,0.0565,1.5466,65,0.0,2.0672,136,0.0356,0.4815,15,0.5152,0.8225,141,0.3788,0.0394,7,0.3501,0.0377,25,0.563,0.3283,114
facebook,zstd,c,2038,0.688,0.0,1.4106,189,0.6884,15.2874,375,0.5496,3.6773,104,0.449,1.1116,98,0.3528,0.2121,11,0.3386,0.8411,129,0.077,0.0151,5,0.0702,0.0165,7,0.5079,0.2057,73
facebookresearch,fastText,cpp,312,0.756,0.7564,15.5827,242,0.6859,13.7849,294,0.3878,1.594,57,0.0545,1.5442,63,0.375,0.2351,9,0.147,1.0224,106,0.0032,0.0199,11,0.0833,0.0097,8,0.1538,0.2181,47
FFmpeg,FFmpeg,c,3050,0.053,0.0,2.0552,221,0.0449,12.5067,273,0.0334,1.0717,35,0.0531,0.9195,52,0.0456,0.3918,12,0.0279,0.4773,103,0.0393,0.0285,13,0.0223,0.0175,15,0.0348,0.3766,89
FiloSottile,age,go,676,0.635,0.6095,13.7972,210,0.6346,42.9991,547,0.1391,1.0485,37,0.4926,1.4079,100,0.0858,0.4684,14,0.0888,0.9099,156,0.003,0.0395,8,0.0015,0.0169,13,0.0311,0.2227,66
foriequal0,git-trim,rs,509,0.646,0.6464,11.8529,321,0.5697,13.3,334,0.5265,2.6696,82,,1.5666,98,0.4538,0.2833,15,0.4106,0.6952,138,0.1159,0.0626,13,0.1041,0.0168,17,0.389,0.3684,75
gabotechs,dep-tree,go,865,0.652,0.5676,12.1711,245,0.652,38.2868,585,0.3711,1.2042,48,0.1803,1.7494,105,0.6254,0.304,8,0.0,0.8608,154,0.1087,0.0349,9,0.0902,0.028,19,0.3503,0.3222,96
ggreer,the_silver_searcher,c,1006,0.593,0.4801,7.381,195,0.5934,13.7597,443,0.0149,3.7182,107,0.3867,1.3787,103,0.3459,0.1984,6,0.3887,0.8817,144,0.0716,0.388,323,0.1024,0.0126,9,0.1481,0.3339,91
git-bahn,git-graph,rs,568,0.796,0.0,1.5211,216,0.7958,49.8616,658,0.0335,7.7456,160,0.3556,0.94,49,0.5616,0.2005,10,0.588,1.1657,166,0.2764,0.066,20,0.0335,0.0226,14,0.0123,0.2407,49
go-critic,go-critic,go,493,0.416,0.3509,20.2786,360,0.4158,34.1163,677,0.2819,4.0019,134,0.2394,1.1511,111,0.3043,0.4903,14,0.217,0.4634,89,0.0385,0.0352,7,0.0061,0.0235,20,0.2596,0.2141,58
google,brotli,c,441,0.907,0.8027,10.5949,262,0.907,19.9272,394,0.8458,5.6762,110,0.5283,1.0308,69,0.0091,0.5174,18,0.0091,0.6345,122,0.0068,0.0473,11,0.0159,0.0239,14,0.4671,0.3416,100
gromacs,gromacs,cpp,1245,0.093,0.0426,14.3283,298,0.0498,32.3587,562,0.0442,6.1736,153,0.0932,1.8218,100,0.0321,0.3179,9,0.0137,1.0389,97,0.0233,0.036,8,0.0088,0.0234,11,0.0,0.3424,71
guumaster,hostctl,go,1051,0.828,0.6936,10.7724,253,0.8278,15.8893,416,0.6413,11.7666,211,0.4034,1.1112,70,0.2826,0.6588,17,0.3165,0.8537,132,0.2835,0.0488,24,0.2465,0.0257,24,0.5296,0.2473,62
hairyhenderson,gomplate,go,2926,0.747,0.7092,14.3687,258,0.7474,22.1314,450,0.4111,4.6896,89,0.0,0.901,86,0.1934,0.4554,12,0.1435,0.4843,98,0.0865,0.0542,10,0.1039,0.024,17,0.1712,0.2409,89
HaliteChallenge,Halite,cpp,275,0.804,0.8036,15.0788,222,0.1418,38.6877,494,0.7127,1.0024,44,0.7564,1.5625,73,0.1855,0.197,6,0.4291,0.4545,106,0.0,0.0242,9,0.0145,0.0442,22,0.4727,0.5228,71
hatoo,oha,rs,899,0.725,0.0,2.8925,187,0.7253,19.742,435,0.4583,1.3963,39,0.3415,0.9585,43,0.5284,0.2844,8,0.0,0.9292,99,0.158,0.0316,7,0.1268,0.0228,8,0.2636,0.2942,55
hooklift,gowsdl,go,391,0.864,0.6164,20.1788,296,0.624,60.1824,801,0.8645,19.7111,260,0.6931,1.0395,82,0.1176,0.3797,10,0.6317,1.0195,155,0.266,0.0222,13,0.1151,0.0082,9,0.3069,0.2652,62
hpjansson,chafa,c,1931,0.584,0.3345,14.6444,252,0.5842,50.796,532,0.1611,1.4484,42,0.0,1.6453,92,0.087,0.1562,7,0.5018,0.8216,136,0.0347,0.0422,9,0.0456,0.0127,6,0.4713,0.1727,65
htop-dev,htop,c,693,0.851,0.8514,14.1456,238,0.0722,11.5733,259,0.0981,1.5527,59,0.8023,0.9313,55,0.153,0.2764,8,0.0722,0.5568,107,0.0895,0.0328,10,0.0664,0.0191,13,0.0649,0.2079,43
hush-shell,hush,rs,1201,0.833,0.8335,16.8406,374,0.766,67.3442,1000,0.1574,0.7507,28,0.1507,1.005,61,0.0616,0.2342,10,0.0458,0.72,87,0.0841,0.0288,19,0.0691,0.0332,12,0.0866,0.4845,158
incu6us,goimports-reviser,go,513,0.864,0.6862,9.5219,230,0.7232,17.0586,441,0.8635,2.6014,95,0.0,1.169,98,0.7329,0.604,18,0.4659,1.0246,146,0.1442,0.0256,11,0.0819,0.0161,12,0.7407,0.3366,121
ip7z,7zip,cpp,1043,0.339,0.0518,6.0198,218,0.3394,19.3835,343,0.0125,0.5999,35,0.1486,1.3924,106,0.0988,0.3125,9,0.0,1.0959,157,0.0221,0.0417,7,0.024,0.0169,6,0.0479,0.1937,65
ismaelgv,rnr,rs,683,0.821,0.6662,11.8635,257,0.7804,20.1172,374,0.8214,4.4437,154,0.798,1.9521,184,0.6794,0.3671,14,0.2138,1.3297,154,0.2592,0.0394,18,0.038,0.0345,24,0.038,0.2594,107
Isona,dirble,rs,718,0.667,0.6671,5.8922,95,0.5181,15.9798,345,0.2967,2.2754,71,0.468,0.8489,33,0.5167,0.3859,11,0.2549,0.6358,111,0.2465,0.0373,9,0.2716,0.0157,9,0.5146,0.3144,80
ivanceras,svgbob,rs,472,0.413,0.2309,14.1584,268,0.4131,43.7488,744,0.2309,0.7457,36,0.2479,0.9742,38,0.1864,0.1472,6,0.1801,1.2774,187,0.1335,0.0937,23,0.0233,0.0269,16,0.2182,0.2692,52
jarun,nnn,c,477,0.981,0.9811,14.0742,334,0.9665,10.4741,347,0.9665,1.3155,56,0.5975,0.8779,70,0.7673,0.1708,8,0.8868,0.5216,123,0.6981,0.0268,13,0.5136,0.0155,10,0.1363,0.2419,87
jesseduffield,lazygit,go,855,0.564,0.5637,9.5234,188,0.5123,8.1128,206,0.3673,0.9272,49,0.3275,1.2932,87,0.283,0.3905,11,0.2678,0.3127,65,0.2304,0.038,118,0.2433,0.0235,15,0.4608,0.1606,41
jgm,pandoc,hs,5228,0.141,0.0006,17.6978,339,0.1411,35.829,568,0.0472,1.0416,46,0.0629,1.3319,95,0.0518,0.2426,8,0.0006,0.9013,105,0.0063,0.0514,19,0.0038,0.0556,20,0.062,0.2023,67
jhspetersson,fselect,rs,3115,0.44,0.4398,9.783,262,0.0253,20.1053,479,0.2928,2.5179,74,0.2411,0.8923,62,0.2029,0.4301,12,0.0992,0.505,113,0.2032,0.0488,9,0.0,0.0695,28,0.009,0.2371,89
JohannesKaufmann,html-to-markdown,go,885,0.855,0.8373,14.4826,363,0.8192,18.687,503,0.8554,3.5569,92,0.0147,1.3838,113,0.6723,0.2314,7,0.4734,0.7184,111,0.3322,0.0544,11,0.0147,0.0626,31,0.6588,0.3898,105
johnkerl,miller,go,14637,0.229,0.2294,13.8594,322,0.0,5.7743,286,0.1903,2.8563,62,0.0484,0.9483,59,0.0801,0.3169,11,0.0486,1.6119,206,0.0474,0.0222,8,0.0339,0.0193,12,0.1153,0.1966,58
jonas,tig,c,1586,0.839,0.7957,10.7764,281,0.0,14.9267,382,0.8361,0.8421,44,0.8392,1.024,72,0.3815,0.1191,7,0.8291,0.2239,80,0.3897,0.0285,8,0.7686,0.0149,12,0.7119,0.1902,54
jqlang,jq,c,6072,0.899,0.0114,18.2616,384,0.0099,4.3975,289,0.6391,2.6902,80,0.1609,0.7239,60,0.8989,0.1503,140,0.334,0.9179,111,0.0097,0.0201,15,0.0781,0.015,10,0.1874,0.2089,46
jrnxf,thokr,rs,445,0.822,0.8225,18.0291,328,0.0,44.8317,668,0.6315,4.8493,126,0.4247,1.3071,89,0.4337,0.0876,6,0.227,0.6096,100,0.2989,0.0219,8,0.2629,0.0194,12,0.4022,0.3168,96
junegunn,fzf,go,1874,0.819,0.8192,11.7756,253,0.8111,29.3343,607,0.7487,0.5638,20,0.6276,0.7651,55,0.7191,0.3392,12,0.2234,0.7183,105,0.4661,0.0359,7,0.0371,0.0258,12,0.1394,0.1589,45
kaushiksrini,parqeye,rs,479,0.589,0.4551,14.1909,203,0.1315,91.5942,720,0.5887,1.251,40,0.0418,0.8246,46,0.4843,0.2122,14,0.3445,1.1619,181,0.0,0.0245,18,0.1378,0.0243,17,0.0,0.4089,105
kisielk,errcheck,go,341,0.804,0.8035,10.8833,225,0.566,17.0856,426,0.5689,6.9299,187,0.5044,2.0665,135,0.4868,0.3378,14,0.2111,1.4944,216,0.2258,0.0313,14,0.1085,0.0099,8,0.3666,0.2222,112
konradsz,igrep,rs,385,0.735,0.0,1.3194,185,0.6052,10.2593,279,0.7351,1.3842,54,0.6182,0.739,53,0.0883,0.2103,14,0.5351,0.4259,76,0.3922,0.0298,12,0.5169,0.0376,12,0.5688,0.2132,49
KSXGitHub,parallel-disk-usage,rs,531,0.861,0.8606,18.2276,273,0.8512,29.3733,456,0.7646,4.6631,99,0.5443,2.3425,129,0.6328,0.6047,14,0.5537,1.0156,140,0.5292,0.0346,11,0.1375,0.0224,13,0.5725,0.4158,95
kyoh86,richgo,go,546,0.85,0.8498,12.8663,312,0.7766,8.2318,313,0.837,6.0086,166,0.5659,1.4832,121,0.544,0.2586,10,0.4872,1.0359,156,0.0824,0.019,8,0.0641,0.0247,14,0.5916,0.361,120
kyoheiu,felix,rs,502,0.492,0.0,2.478,244,0.0,4.163,360,0.4522,1.1261,52,0.492,1.1218,62,0.3904,0.4232,12,0.2351,1.0126,142,0.4602,0.0555,44,0.2231,0.0535,20,0.3327,0.2686,76
lfos,calcurse,c,666,0.538,0.5375,12.7428,248,0.0706,31.5653,528,0.3348,2.8788,80,0.2312,1.6893,84,0.3529,0.5379,12,0.3498,0.8341,127,0.2598,0.0469,11,0.1697,0.0125,8,0.3378,0.4256,113
lh3,seqtk,c,429,0.674,0.6737,14.1072,306,0.648,19.1331,482,0.6387,2.48,68,0.2005,1.264,125,0.4033,0.2561,12,0.1702,0.5659,84,0.0676,0.0233,9,0.0886,0.0149,16,0.2145,0.2431,92
lua,lua,c,1338,0.431,0.0,9.8429,315,0.3468,138.9932,993,0.4312,4.4143,95,0.139,0.8006,64,0.1779,0.2,13,0.0224,1.0178,157,0.0448,0.1982,265,0.0508,0.0168,16,0.0336,0.1719,112
LuaJIT,LuaJIT,c,2967,0.715,0.2902,19.8812,259,0.7145,31.4461,520,0.029,0.3291,18,0.0357,1.2169,122,0.0768,0.1834,16,0.0118,0.9766,157,0.0533,0.0246,9,0.1459,0.0134,8,0.1945,0.148,68
Lymphatus,caesium-clt,rs,575,0.923,0.9235,11.4684,294,0.0574,8.7291,350,0.7357,1.8894,57,0.5809,1.5392,95,0.0157,0.6109,17,0.5757,0.8605,135,0.1722,0.0418,28,0.1252,0.0178,12,0.4939,0.3996,139
lz4,lz4,c,1496,0.827,0.7874,9.8574,216,0.8269,25.445,501,0.8001,5.5613,155,0.3643,0.8366,57,0.4659,0.2438,10,0.2206,0.8369,97,0.0963,0.0386,10,0.1444,0.0099,9,0.0521,0.2018,46
madler,pigz,c,831,0.832,0.0,1.6261,215,0.7485,11.6376,343,0.8315,4.5319,149,0.6643,1.1032,88,0.7894,0.2322,10,0.7341,0.4727,84,0.1757,0.0216,13,0.1059,0.0142,8,0.296,0.1433,37
mfridman,tparse,go,425,0.776,0.7765,13.5282,179,0.76,21.0477,361,0.72,2.3252,69,0.5176,1.0527,55,0.3906,0.2351,8,0.5153,0.6178,84,0.0612,0.0193,6,0.2871,0.0288,13,0.5694,0.2564,69
